country_code,country,province,year,yield,t2m_M1,t2m_M2,t2m_M3,t2m_M4,t2m_M5,t2m_M6,t2m_M7,t2m_M8,rh2m_M1,rh2m_M2,rh2m_M3,rh2m_M4,rh2m_M5,rh2m_M6,rh2m_M7,rh2m_M8,ws10m_M1,ws10m_M2,ws10m_M3,ws10m_M4,ws10m_M5,ws10m_M6,ws10m_M7,ws10m_M8,ps_M1,ps_M2,ps_M3,ps_M4,ps_M5,ps_M6,ps_M7,ps_M8,frost_days_M1,frost_days_M2,frost_days_M3,frost_days_M4,frost_days_M5,frost_days_M6,frost_days_M7,frost_days_M8,snodp_M1,snodp_M2,snodp_M3,snodp_M4,snodp_M5,snodp_M6,snodp_M7,snodp_M8,pw_M1,pw_M2,pw_M3,pw_M4,pw_M5,pw_M6,pw_M7,pw_M8
IT,italy,abruzzo,2000,1637.7399871870875,-0.1296774193548387,1.5882758620689656,4.15483870967742,8.701666666666666,14.21935483870968,17.828666666666667,18.89161290322581,21.708064516129035,86.32225806451612,85.19793103448275,83.73548387096774,81.21333333333334,74.67903225806452,60.741,55.13935483870968,49.85032258064516,2.716451612903226,2.87551724137931,3.4370967741935483,3.0170000000000003,1.902903225806452,2.418333333333333,3.150967741935484,1.8922580645161289,89.96935483870968,90.06448275862068,89.8258064516129,89.19033333333333,89.89,90.14566666666666,89.75645161290322,90.12967741935483,25.0,20.0,17.0,3.0,0.0,0.0,0.0,0.0,12.198064516129032,11.1,5.01516129032258,0.052,0.0,0.0,0.0,0.0,1.8219949807959412,1.8219949807959412,1.8219949807959412,1.8219949807959412,1.8219949807959412,1.8219949807959412,1.8219949807959412,1.8219949807959412
IT,italy,abruzzo,2001,1598.159992411733,2.9296774193548383,1.7,7.1970967741935485,6.281333333333333,13.248709677419354,16.045,20.19290322580645,22.016774193548382,94.01129032258063,87.76785714285714,87.50193548387097,81.66966666666667,75.69709677419355,64.24166666666666,53.36967741935484,48.57032258064516,3.251935483870968,3.765,4.163225806451613,3.179666666666667,2.400967741935484,2.872,2.705483870967742,2.1151612903225803,89.49935483870968,89.58321428571428,89.22838709677418,89.27266666666667,89.71935483870968,89.852,89.9025806451613,89.98612903225806,9.0,16.0,3.0,9.0,0.0,0.0,0.0,0.0,10.232903225806451,8.063928571428573,1.89,2.864666666666667,0.0,0.0,0.0,0.0,1.164838709677419,0.8232142857142858,1.2993548387096774,1.0996666666666668,1.7629032258064516,1.7323333333333333,2.071290322580645,2.1570967741935485
IT,italy,abruzzo,2002,1595.639975503087,-0.3832258064516128,4.0617857142857146,5.908064516129032,7.896666666666666,13.07258064516129,19.241,19.95903225806452,18.56225806451613,82.37064516129033,84.49142857142859,75.6690322580645,77.43866666666666,70.91548387096775,58.41633333333333,61.35935483870967,68.03483870967742,2.4438709677419355,2.8525,3.419032258064516,2.86,2.5625806451612902,2.3266666666666667,2.63258064516129,2.413870967741935,90.31741935483872,89.73285714285714,89.64483870967742,89.31866666666666,89.65354838709676,89.97033333333334,89.72967741935483,89.73,24.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,15.70258064516129,0.7535714285714287,2.19258064516129,0.7033333333333334,0.0,0.0,0.0,0.0,0.7338709677419355,1.0164285714285717,0.9751612903225808,1.243,1.6880645161290322,2.105,2.3316129032258064,2.419677419354839
IT,italy,abruzzo,2003,1340.0199747681618,1.565806451612903,-2.159642857142857,3.962258064516129,6.703333333333333,15.211290322580645,21.048333333333336,22.464193548387097,22.96,90.8332258064516,89.67107142857142,76.45709677419354,78.59166666666667,67.12935483870969,58.897666666666666,51.13645161290323,51.62354838709677,4.340322580645162,3.0760714285714283,3.0380645161290323,3.3506666666666667,2.1535483870967744,1.6746666666666667,2.2861290322580645,2.576774193548387,89.16548387096775,89.52250000000001,90.0067741935484,89.54466666666667,89.96064516129033,90.01666666666667,89.96096774193548,90.10483870967742,20.0,27.0,15.0,6.0,0.0,0.0,0.0,0.0,13.988709677419356,16.43642857142857,2.5448387096774194,4.323,0.0,0.0,0.0,0.0,0.940967741935484,0.5960714285714286,0.8422580645161291,1.079,1.7361290322580645,2.281333333333333,2.144516129032258,2.4480645161290324
IT,italy,abruzzo,2004,1496.7900361418724,0.1261290322580645,2.306896551724138,3.473548387096774,7.638000000000001,9.717096774193548,16.201666666666668,20.20225806451613,20.381290322580647,88.63290322580644,84.53689655172414,84.6916129032258,86.846,79.11354838709677,73.49366666666667,56.34483870967742,59.0516129032258,4.101290322580645,3.5655172413793106,2.693548387096774,2.8516666666666666,3.138709677419355,2.136,2.1593548387096773,2.1922580645161287,89.02516129032259,89.71689655172413,89.80096774193548,89.29266666666668,89.51161290322581,89.914,89.96709677419355,89.90096774193547,22.0,20.0,18.0,0.0,1.0,0.0,0.0,0.0,12.60193548387097,11.046206896551723,9.577741935483871,0.4946666666666666,0.0,0.0,0.0,0.0,0.8235483870967742,0.8679310344827587,0.984516129032258,1.4476666666666669,1.3974193548387095,1.953,2.0748387096774192,2.260322580645161
IT,italy,abruzzo,2005,1485.3899886012075,-0.2777419354838709,-2.5635714285714286,3.591935483870968,6.988333333333333,13.225161290322582,16.998,20.634193548387096,17.998709677419356,86.63967741935484,91.95142857142856,84.1125806451613,81.24466666666667,74.27032258064517,68.71033333333334,55.06193548387097,66.41935483870968,2.881612903225806,3.529642857142857,2.5751612903225807,2.9646666666666666,2.589677419354839,2.127,2.6416129032258064,2.579354838709677,89.6774193548387,89.10464285714285,89.53774193548388,89.49733333333333,89.80612903225806,90.00166666666668,89.84645161290322,89.81225806451613,26.0,27.0,14.0,6.0,0.0,0.0,0.0,0.0,8.923225806451613,14.396071428571428,5.066129032258065,0.0,0.0,0.0,0.0,0.0,0.675483870967742,0.6553571428571429,0.9712903225806452,1.143333333333333,1.6461290322580646,2.0853333333333333,2.07,2.258387096774194
IT,italy,abruzzo,2006,1330.7499846220016,-0.4006451612903225,0.95,3.086129032258065,9.013333333333332,13.19516129032258,16.895333333333333,20.681612903225805,18.31032258064516,93.05032258064516,87.23428571428572,88.48645161290322,79.077,71.7374193548387,60.86366666666667,57.69258064516129,65.63774193548387,3.142258064516129,3.560714285714286,4.209032258064516,2.3800000000000003,2.3748387096774195,2.289,2.123870967741936,2.7683870967741933,89.8367741935484,89.16428571428571,89.07225806451612,89.41366666666666,89.88612903225805,90.128,90.13903225806452,89.56967741935483,25.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,16.83677419354839,9.039285714285716,9.073225806451614,0.0,0.0,0.0,0.0,0.0,0.7696774193548387,0.8192857142857143,1.0316129032258066,1.336,1.5203225806451617,1.812,2.2716129032258063,2.202258064516129
IT,italy,abruzzo,2007,1152.3199933171272,3.792258064516129,3.801071428571429,5.338709677419355,10.246666666666666,13.537096774193548,18.118,22.55838709677419,20.88225806451613,85.50806451612904,84.63107142857143,83.4258064516129,72.682,71.65709677419355,63.6,41.77225806451613,51.66903225806452,3.1193548387096777,3.244642857142857,3.333870967741936,1.8713333333333333,2.423548387096774,2.402,2.361935483870968,2.754516129032258,90.09354838709676,89.36357142857142,89.31612903225808,89.88033333333333,89.46709677419355,89.73033333333333,89.89096774193548,89.79129032258065,14.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,4.864516129032259,4.938571428571429,4.561612903225806,0.0,0.0,0.0,0.0,0.0,1.028709677419355,1.0839285714285716,1.1090322580645162,1.352666666666667,1.6922580645161291,2.1093333333333333,1.870322580645161,2.1667741935483877
IT,italy,abruzzo,2008,0.0,2.628064516129032,2.4741379310344827,4.682903225806451,7.432666666666666,12.90967741935484,18.101666666666667,21.15838709677419,22.53967741935484,85.4483870967742,79.47068965517242,84.45193548387097,80.17133333333332,72.06967741935483,66.09533333333334,52.08548387096774,44.03645161290322,2.974516129032258,3.070689655172414,3.509677419354839,4.053,2.4932258064516133,1.63,2.3235483870967744,1.878064516129032,90.07322580645162,90.4203448275862,88.81290322580645,89.269,89.67193548387097,89.829,89.87741935483871,89.8358064516129,14.0,15.0,13.0,4.0,0.0,0.0,0.0,0.0,3.6545161290322574,0.2693103448275862,4.939677419354839,1.7186666666666666,0.0,0.0,0.0,0.0,1.0183870967741937,0.8462068965517241,1.008709677419355,1.1836666666666666,1.6974193548387095,2.197,2.1490322580645165,2.088709677419355
IT,italy,abruzzo,2009,0.0,1.596774193548387,-0.0428571428571428,3.453225806451613,8.648333333333333,14.803870967741936,16.284,21.20387096774194,21.94225806451613,93.76774193548388,88.60107142857143,84.65516129032258,80.903,67.33225806451614,73.141,56.52806451612903,54.15451612903226,2.827741935483871,3.642142857142857,4.039032258064516,2.5383333333333336,1.9,2.449,1.9761290322580645,1.8270967741935484,89.1183870967742,89.04142857142857,89.15451612903226,89.40366666666667,90.0325806451613,89.72066666666666,89.99548387096775,90.05290322580645,17.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,12.223548387096775,12.02714285714286,6.854838709677419,0.0,0.0,0.0,0.0,0.0,1.0325806451612902,0.8139285714285714,1.012258064516129,1.3596666666666666,1.6622580645161291,2.1136666666666666,2.1296774193548385,2.36741935483871
